,artificial,astringent,bitter,Candy,citrus,concentrated juice,cooked flavor,dark orange,dark yellow,dilute,floral,freshness,fruity,honey,less sour,mixed fruit,natural,orange flavor,over-ripe,Pulpy,sour,sparkling,Sweet
Biley_10%,12,0,0,2,0,1,0,1,0,4,0,0,1,0,1,1,1,1,2,0,1,0,13
Goldenpan_25%,11,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,18
Malee_100%_T,1,1,4,0,3,0,0,0,2,3,0,2,0,0,0,0,3,3,1,2,12,0,2
Malee_100%_V,2,2,1,0,3,0,0,0,2,3,2,1,0,0,1,0,2,2,1,3,8,0,5
MinuteM_15%,9,0,0,2,1,2,0,0,0,2,0,0,1,1,1,0,1,0,1,0,1,0,19
Tipco_100%_T,3,0,5,0,1,0,3,0,2,2,0,3,0,0,1,0,7,1,1,3,8,0,2
Tipco_100%_V,2,0,6,0,3,0,1,0,3,1,0,3,0,0,0,0,6,1,1,1,12,0,1
UFC_100%,5,0,0,0,0,0,6,9,0,0,0,0,0,1,0,2,3,2,5,2,3,0,2
UFC_40%,5,0,1,1,0,0,0,0,1,5,0,0,0,0,1,0,1,0,3,15,4,2,1
Unif_100%_T,6,0,0,1,0,0,6,5,0,1,0,0,1,1,0,1,2,2,5,2,3,0,2
