,Fires..age.adjusted.mortality.per.100.000,Drownings..age.adjusted.mortality.per.100.000,Poisonings..age.adjusted.mortality.per.100.000,Falls..age.adjusted.mortality.per.100.000,Total.Cholesterol(F)..mmol.L.,Total.Cholesterol(M)..mmol.L.,Average.Systolic.BP(F)..mm.Hg.,Average.Systolic.BP(M)..mm.Hg.,Female.BMI,Male.BMI,General.government.expenditure.on.health.as.percentage.of.total.government.expenditure,Total.expenditure.on.health.as.percentage.of.GDP..gross.domestic.product.,Per.capita.total.expenditure.on.health.at.average.exchange.rate..US..,Per.capita.total.expenditure.on.health..PPP.int....,One.year.olds.immunized.with.MCV....,One.year.olds.immunized.with.three.doses.of.diphtheria.tetanus.toxoid.and.pertussis..DTP3.....
Afghanistan,5.460642,8.894667,5.220776,6.331071,4.29517,4.171098,124.2085,124.7101,20.65274,20.59848,1.47488739,5.7,14.81829282,22.11455733,35,36
Albania,0.2715491,1.223273,1.288356,0.788038,4.918646,4.905689,129.0609,132.4619,25.27082,25.77167,7.32178131,6.3,90.26431823,303.1146674,96,98
Algeria,4.535572,3.803705,4.214998,4.422987,4.848951,4.711596,130.4024,129.4057,25.69948,23.95294,8.73760033,3.9,69.92465684,225.208426,81,86
Andorra,0.2548407,0.7054017,2.593317,2.160558,5.52906,5.636606,124.6455,132.5272,26.19542,27.02525,19.99027288,7,1485.790128,2152.617156,98,97
Angola,9.622183,19.18674,12.89118,7.728636,4.499115,4.325346,129.9282,132.5976,22.26093,21.51765,3.7356871,2.4,18.14977445,63.35772644,74,47
Antigua and Barbuda,0.4155295,3.499865,0.7010223,0,4.934998,4.782971,125.089,131.6967,26.76278,25.13039,8.81995744,4.6,409.5641097,595.2926781,99,98
Argentina,1.20581,2.503394,0.5060582,0.9156841,5.143871,5.087207,119.6538,126.8933,26.7046,26.99882,15.26244835,8.3,225.3570651,657.9836689,96,92
Armenia,1.747288,2.312726,2.524592,1.389538,4.795259,4.659803,132.632,133.86,26.33638,24.37698,6.18669092,5.4,41.9923427,142.4950323,91,94
Australia,0.4389411,1.250547,4.185172,2.145666,5.326858,5.30059,120.5113,129.7888,26.25957,26.93858,16.27221468,8.4,1846.880949,2543.450068,93,92
Austria,0.4650016,0.9030446,0.9908046,6.149815,5.381785,5.436879,125.8685,132.3738,24.83051,25.99583,15.01314532,10,2577.451078,3057.574228,78,83
Azerbaijan,4.98544,0.4922847,1.246602,0.3272918,4.660952,4.507827,128.4553,131.2551,26.53823,24.66021,5.15132003,4.5,33.63898826,121.0512236,66,75
Bahamas,2.632014,7.378496,0.658244,2.636469,5.216408,5.074367,125.3891,131.779,28.44201,26.51184,14.64254953,6.1,1180.504297,1503.198506,94,94
Bahrain,0,0.7915528,0.0912854,0.922175,5.204952,5.094296,132.4395,130.6395,27.96036,26.94923,9.467871,4.4,580.1613452,1027.051794,99,98
Bangladesh,12.55292,6.269516,7.232305,11.54749,4.400593,4.316104,124.5601,125.2913,19.72414,20.18621,8.2264843,3.1,502.7477099,10.87360205,65,83
Barbados,0.2786933,3.250342,0,1.952743,4.953912,4.764686,126.5221,129.6404,28.58496,25.77615,12.36720458,7.3,670.9496459,925.4477874,91,87
Belarus,7.009493,16.80746,35.11995,6.217752,5.147683,5.06148,129.7948,135.3698,26.12336,25.4016,9.82995307,6.5,94.77788686,388.3093622,99,99
Belgium,0.7817637,0.5869388,1.37417,5.611277,5.454941,5.53207,124.8811,130.4967,25.12181,26.30602,12.54563255,8.5,2070.855227,2543.14048,82,95
Belize,0,6.4369,0,2.722101,4.756145,4.53939,120.4714,126.2603,28.87468,26.30847,7.39083403,4.4,154.9164476,236.9790148,88,89
Benin,6.434937,7.249941,6.832122,5.192746,4.29748,4.025734,129.6162,131.5012,23.14637,21.95309,9.67272226,4.3,17.29773751,53.03333129,66,75
Bhutan,14.75865,6.63132,9.06007,13.41168,4.502559,4.483721,125.0388,126.3632,22.16199,22.33607,17.12130357,8.3,69.86387534,228.2907416,78,86
Bolivia,1.481776,6.402012,1.055268,0.6592804,4.745852,4.606631,122.9154,127.0869,26.1348,24.08033,11.22315494,6.5,59.69686121,214.8080641,91,77
Bosnia and Herzegovina,0.5372866,5.764493,0.5308095,0.3968507,4.759707,4.681182,133.1459,132.0737,25.96649,25.8431,10.55080675,7,124.5030884,351.1755799,89,80
Botswana,3.852041,7.095198,5.670695,3.313356,4.72277,4.588541,132.4681,132.6175,25.52204,21.31605,10.58251001,6.1,204.155825,583.3975583,92,97
Brazil,0.9061288,4.259397,0.213433,4.782853,4.899372,4.875647,125.8598,130.9997,25.36366,24.97064,5.00335636,7.2,203.0893158,530.3793326,95,99
Brunei,1.103618,5.07066,1.060196,2.760267,5.14031,5.153958,123.2886,129.1753,22.95992,23.93406,5.60336954,4.3,533.159322,1425.206486,99,94
Bulgaria,1.238858,2.200045,1.629415,2.833619,5.095784,5.047228,129.3342,133.827,25.24871,25.95657,11.74209765,7.6,153.979038,574.6958137,92,93
Burkina Faso,7.659241,9.378786,9.017749,6.027211,4.127278,3.881176,129.2223,129.6161,21.12089,20.81927,11.93697709,5,12.6621784,42.16514503,64,69
Burundi,4.981118,11.82111,7.982444,3.886196,4.170466,3.954383,131.8824,132.3927,20.81771,21.31762,8.2337948,7,6.59199465,23.22514139,77,81
Cambodia,0.6441132,7.805635,0.7264,5.588905,4.443956,4.298664,117.6568,122.5021,21.08197,20.36407,11.15885278,7.5,25.02700655,79.84893183,52,54
Cameroon,6.640471,7.36117,7.053218,5.41176,4.359665,4.053227,125.9758,129.2626,23.99221,23.07282,7.94243133,4.9,32.21794315,86.16057126,53,66
Canada,0.6815603,0.933789,2.530718,3.087231,5.263165,5.210621,120.5054,126.0435,26.29888,27.12542,16.1864389,9.6,2249.068799,2871.074975,95,93
Cape Verde,1.739057,0.9686725,0.438373,1.47547,4.441919,4.23046,132.6137,135.7461,24.05403,22.71017,10.97760346,5,68.62929321,111.0967915,89,91
Chad,6.745008,8.076636,7.46593,5.42399,4.14814,3.86886,126.8861,129.9808,21.18393,20.96196,11.9595709,8,18.02517262,62.44572376,25,25
Chile,1.835357,3.225192,1.038432,2.16193,5.088821,5.019424,126.4672,132.2429,27.13405,26.36532,15.01218648,8.4,358.5860816,834.5581293,95,97
China,1.074561,9.386707,5.510108,8.447947,4.451926,4.384617,123.3793,125.8521,22.67688,22.61654,9.40812401,4.8,54.09233591,136.3994582,85,86
Colombia,0.5612715,3.103212,0.3163452,4.180001,5.016418,4.866063,123.3725,126.9059,25.88257,24.32036,18.97610343,7.3,174.8136712,449.0422369,93,81
Comoros,3.916026,3.869431,3.70089,3.404397,4.379765,4.217265,130.3333,132.1162,22.08826,21.79129,6.79407552,2.9,12.12543165,28.25254972,71,89
"Congo, Dem. Rep.",6.036192,17.31894,11.65109,4.815111,4.071017,3.791282,128.1466,130.6751,20.91397,19.83696,2.44139981,4.3,4.54407551,9.87603707,42,38
"Congo, Rep.",4.392453,10.17131,7.076365,3.709612,4.54941,4.304042,131.8192,133.4123,22.26737,21.47048,3.62473147,2.4,22.35925675,72.44692175,37,41
Costa Rica,0.1935318,4.226932,0.3832477,2.92673,4.884666,4.660567,121.6703,127.3645,26.29537,25.78377,22.21905494,7.7,316.3417106,573.8488137,94,94
Cote d'Ivoire,6.315687,16.71086,10.66167,5.341683,4.340296,4.078934,130.8075,133.0258,23.16914,22.15328,5.21357722,3.5,23.12727034,54.87882337,71,64
Croatia,0.8633497,2.215064,1.538751,7.306144,5.093568,5.023768,131.4386,135.5528,24.78217,26.03011,11.9742102,6.3,374.6882405,788.5646458,95,95
Cuba,0.6862583,2.653442,0.3206951,10.75212,4.708419,4.469863,125.4713,127.9879,25.73888,24.26055,11.1846544,6.5,194.7968231,171.570924,98,99
Cyprus,0.9647784,3.890298,0.1896975,0.4540549,5.262508,5.319263,124.5562,131.7244,25.63186,26.9245,6.88569557,6.1,885.8897118,1298.59421,86,98
Denmark,0.9470112,0.7514781,2.304068,12.70644,5.479227,5.620529,122.0758,131.0406,24.74319,25.52596,14.4507266,9.3,3018.616414,2870.453902,95,98
Djibouti,4.646749,8.38129,4.949175,6.021299,4.707457,4.666093,128.7091,131.3441,23.74615,22.77671,10.74951999,5.5,42.44570964,89.01301185,62,62
Dominica,0.7984221,9.893225,0.7849472,3.212226,4.865453,4.583246,130.1799,132.7415,28.09965,24.18375,9.09366475,6.5,238.3590211,398.1189068,99,98
