stimuli,composer,player
Bach.Arrau.1,Bach,Arrau
Bach.Arrau.2,Bach,Arrau
Bach.Arrau.3,Bach,Arrau
Bach.Baren.4,Bach,Baren
Bach.Baren.5,Bach,Baren
Bach.Baren.6,Bach,Baren
Bach.Pires.7,Bach,Pires
Bach.Pires.8,Bach,Pires
Bach.Pires.9,Bach,Pires
Bach.Richt.10,Bach,Richt
Bach.Richt.11,Bach,Richt
Bach.Richt.12,Bach,Richt
Beet.Arrau.13,Bethoven,Arrau
Beet.Arrau.14,Bethoven,Arrau
Beet.Arrau.15,Bethoven,Arrau
Beet.Baren.16,Bethoven,Baren
Beet.Baren.17,Bethoven,Baren
Beet.Baren.18,Bethoven,Baren
Beet.Pires.19,Bethoven,Pires
Beet.Pires.20,Bethoven,Pires
Beet.Pires.21,Bethoven,Pires
Beet.Richt.22,Bethoven,Richt
Beet.Richt.23,Bethoven,Richt
Beet.Richt.24,Bethoven,Richt
Moza.Arrau.25,Mozart,Arrau
Moza.Arrau.26,Mozart,Arrau
Moza.Arrau.27,Mozart,Arrau
Moza.Baren.28,Mozart,Baren
Moza.Baren.29,Mozart,Baren
Moza.Baren.30,Mozart,Baren
Moza.Pires.31,Mozart,Pires
Moza.Pires.32,Mozart,Pires
Moza.Pires.33,Mozart,Pires
Moza.Richt.34,Mozart,Richt
Moza.Richt.35,Mozart,Richt
Moza.Richt.36,Mozart,Richt
